$0;1494868693079977016;1.10;KIEKER-SINGLETON;7a3908937685;1;false;0;NANOSECONDS;1
$1;1494868729995290942;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;B042846482AA56D8FE73123438C4D65B;6922595577221873685;1494868729879045269;1494868729995284227;7a3908937685;3;3
$1;1494868729995418452;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);B042846482AA56D8FE73123438C4D65B;6922595577221873685;1494868729878984697;1494868729995414180;7a3908937685;2;2
$1;1494868729996303866;HTTP_VisitsService.POST;B042846482AA56D8FE73123438C4D65B;6922595577221873685;1494868729639492356;1494868729996288120;7a3908937685;1;1
$1;1494868730941803073;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);DA4191397042CB5FCCCABD361947FFCF;6922595577221873692;1494868730919701858;1494868730941796733;7a3908937685;4;4
$1;1494868730963519066;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);DA4191397042CB5FCCCABD361947FFCF;6922595577221873692;1494868730910207080;1494868730963512764;7a3908937685;3;3
$1;1494868730963659999;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);DA4191397042CB5FCCCABD361947FFCF;6922595577221873692;1494868730910192907;1494868730963656408;7a3908937685;2;2
$1;1494868730987479781;HTTP_VisitsService.GET;DA4191397042CB5FCCCABD361947FFCF;6922595577221873692;1494868730909737052;1494868730987462395;7a3908937685;1;1
$1;1494868731032873328;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);DA4191397042CB5FCCCABD361947FFCF;6922595577221873693;1494868731030554883;1494868731032860519;7a3908937685;4;4
$1;1494868731033370366;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;DA4191397042CB5FCCCABD361947FFCF;6922595577221873693;1494868731033004293;1494868731033367054;7a3908937685;5;4
$1;1494868731038441903;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;DA4191397042CB5FCCCABD361947FFCF;6922595577221873693;1494868731029475565;1494868731038435170;7a3908937685;3;3
$1;1494868731038570351;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);DA4191397042CB5FCCCABD361947FFCF;6922595577221873693;1494868731029463757;1494868731038566437;7a3908937685;2;2
$1;1494868731040278211;HTTP_VisitsService.POST;DA4191397042CB5FCCCABD361947FFCF;6922595577221873693;1494868731027456827;1494868731040255289;7a3908937685;1;1
$1;1494868731661483506;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);102C55A1CED0DBC8FB2067B0583A3605;6922595577221873700;1494868731651899599;1494868731661476870;7a3908937685;4;4
$1;1494868731689783681;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);102C55A1CED0DBC8FB2067B0583A3605;6922595577221873700;1494868731649310275;1494868731689776509;7a3908937685;3;3
$1;1494868731689920303;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);102C55A1CED0DBC8FB2067B0583A3605;6922595577221873700;1494868731649300191;1494868731689916324;7a3908937685;2;2
$1;1494868731695536960;HTTP_VisitsService.GET;102C55A1CED0DBC8FB2067B0583A3605;6922595577221873700;1494868731645046719;1494868731695514387;7a3908937685;1;1
$1;1494868731731644822;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);102C55A1CED0DBC8FB2067B0583A3605;6922595577221873701;1494868731729545851;1494868731731637895;7a3908937685;4;4
$1;1494868731732033629;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;102C55A1CED0DBC8FB2067B0583A3605;6922595577221873701;1494868731731824095;1494868731732030820;7a3908937685;5;4
$1;1494868731733289899;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;102C55A1CED0DBC8FB2067B0583A3605;6922595577221873701;1494868731728322746;1494868731733285134;7a3908937685;3;3
$1;1494868731733815436;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);102C55A1CED0DBC8FB2067B0583A3605;6922595577221873701;1494868731728310894;1494868731733811479;7a3908937685;2;2
$1;1494868731734980817;HTTP_VisitsService.POST;102C55A1CED0DBC8FB2067B0583A3605;6922595577221873701;1494868731720067908;1494868731734958442;7a3908937685;1;1
$1;1494868732388770636;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);0D002E23A5403F3243ED25B0E3A5881C;6922595577221873708;1494868732352965253;1494868732388764301;7a3908937685;4;4
$1;1494868732390354975;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);0D002E23A5403F3243ED25B0E3A5881C;6922595577221873708;1494868732333551498;1494868732390349787;7a3908937685;3;3
$1;1494868732390506035;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);0D002E23A5403F3243ED25B0E3A5881C;6922595577221873708;1494868732333536213;1494868732390502998;7a3908937685;2;2
$1;1494868732399984918;HTTP_VisitsService.GET;0D002E23A5403F3243ED25B0E3A5881C;6922595577221873708;1494868732332532848;1494868732399968295;7a3908937685;1;1
$1;1494868732488267681;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);0D002E23A5403F3243ED25B0E3A5881C;6922595577221873709;1494868732469051572;1494868732488260815;7a3908937685;4;4
$1;1494868732488783988;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;0D002E23A5403F3243ED25B0E3A5881C;6922595577221873709;1494868732488462934;1494868732488780857;7a3908937685;5;4
$1;1494868732490270398;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;0D002E23A5403F3243ED25B0E3A5881C;6922595577221873709;1494868732468352254;1494868732490265113;7a3908937685;3;3
$1;1494868732490363264;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);0D002E23A5403F3243ED25B0E3A5881C;6922595577221873709;1494868732468340767;1494868732490360046;7a3908937685;2;2
$1;1494868732491635219;HTTP_VisitsService.POST;0D002E23A5403F3243ED25B0E3A5881C;6922595577221873709;1494868732458533811;1494868732491581330;7a3908937685;1;1
$1;1494868733031213792;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);7351C2E335A1C134426EF65EC5B08DE3;6922595577221873716;1494868733021719864;1494868733031207240;7a3908937685;4;4
$1;1494868733053370352;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);7351C2E335A1C134426EF65EC5B08DE3;6922595577221873716;1494868733008993287;1494868733053364178;7a3908937685;3;3
$1;1494868733053490885;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);7351C2E335A1C134426EF65EC5B08DE3;6922595577221873716;1494868733008983700;1494868733053487891;7a3908937685;2;2
$1;1494868733055457067;HTTP_VisitsService.GET;7351C2E335A1C134426EF65EC5B08DE3;6922595577221873716;1494868733008511910;1494868733055434317;7a3908937685;1;1
$1;1494868733104468628;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);7351C2E335A1C134426EF65EC5B08DE3;6922595577221873717;1494868733082223007;1494868733104462108;7a3908937685;4;4
$1;1494868733105396222;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;7351C2E335A1C134426EF65EC5B08DE3;6922595577221873717;1494868733105179258;1494868733105392970;7a3908937685;5;4
$1;1494868733112016943;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;7351C2E335A1C134426EF65EC5B08DE3;6922595577221873717;1494868733080457371;1494868733112009993;7a3908937685;3;3
$1;1494868733112154610;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);7351C2E335A1C134426EF65EC5B08DE3;6922595577221873717;1494868733080441146;1494868733112149973;7a3908937685;2;2
$1;1494868733112998256;HTTP_VisitsService.POST;7351C2E335A1C134426EF65EC5B08DE3;6922595577221873717;1494868733079425212;1494868733112980931;7a3908937685;1;1
$1;1494868733660954382;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);25285ABE3282BF471D71E06E7A322B2A;6922595577221873724;1494868733651820163;1494868733660948256;7a3908937685;4;4
$1;1494868733668379510;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);25285ABE3282BF471D71E06E7A322B2A;6922595577221873724;1494868733647296831;1494868733668372881;7a3908937685;3;3
$1;1494868733668550383;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);25285ABE3282BF471D71E06E7A322B2A;6922595577221873724;1494868733647282552;1494868733668546935;7a3908937685;2;2
$1;1494868733674737067;HTTP_VisitsService.GET;25285ABE3282BF471D71E06E7A322B2A;6922595577221873724;1494868733645304655;1494868733674718504;7a3908937685;1;1
$1;1494868733698914107;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);25285ABE3282BF471D71E06E7A322B2A;6922595577221873725;1494868733695860958;1494868733698907770;7a3908937685;4;4
$1;1494868733699315719;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;25285ABE3282BF471D71E06E7A322B2A;6922595577221873725;1494868733699108299;1494868733699312783;7a3908937685;5;4
$1;1494868733700534655;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;25285ABE3282BF471D71E06E7A322B2A;6922595577221873725;1494868733691521087;1494868733700530201;7a3908937685;3;3
$1;1494868733700952017;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);25285ABE3282BF471D71E06E7A322B2A;6922595577221873725;1494868733691509987;1494868733700948000;7a3908937685;2;2
$1;1494868733702021845;HTTP_VisitsService.POST;25285ABE3282BF471D71E06E7A322B2A;6922595577221873725;1494868733690518566;1494868733702006052;7a3908937685;1;1
$1;1494868734104798221;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);044582ADD2F76C7251370CDAF15E2475;6922595577221873732;1494868734099789521;1494868734104791754;7a3908937685;4;4
$1;1494868734108867484;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);044582ADD2F76C7251370CDAF15E2475;6922595577221873732;1494868734093060866;1494868734108861908;7a3908937685;3;3
$1;1494868734109467183;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);044582ADD2F76C7251370CDAF15E2475;6922595577221873732;1494868734093050200;1494868734109462397;7a3908937685;2;2
$1;1494868734123144779;HTTP_VisitsService.GET;044582ADD2F76C7251370CDAF15E2475;6922595577221873732;1494868734092621870;1494868734123123871;7a3908937685;1;1
$1;1494868734148242545;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);044582ADD2F76C7251370CDAF15E2475;6922595577221873733;1494868734141572603;1494868734148236291;7a3908937685;4;4
$1;1494868734149748791;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;044582ADD2F76C7251370CDAF15E2475;6922595577221873733;1494868734148417420;1494868734149744271;7a3908937685;5;4
$1;1494868734151830005;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;044582ADD2F76C7251370CDAF15E2475;6922595577221873733;1494868734140361016;1494868734151823856;7a3908937685;3;3
$1;1494868734151978583;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);044582ADD2F76C7251370CDAF15E2475;6922595577221873733;1494868734140348748;1494868734151972307;7a3908937685;2;2
$1;1494868734157579623;HTTP_VisitsService.POST;044582ADD2F76C7251370CDAF15E2475;6922595577221873733;1494868734139372790;1494868734157547986;7a3908937685;1;1
$1;1494868734528423260;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873740;1494868734513340813;1494868734528416727;7a3908937685;4;4
$1;1494868734531252711;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873740;1494868734511934456;1494868734531246438;7a3908937685;3;3
$1;1494868734531348036;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873740;1494868734511924405;1494868734531345062;7a3908937685;2;2
$1;1494868734547865838;HTTP_VisitsService.GET;050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873740;1494868734511088532;1494868734547844789;7a3908937685;1;1
$1;1494868734570347547;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873741;1494868734567515981;1494868734570341050;7a3908937685;4;4
$1;1494868734572221455;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873741;1494868734571741606;1494868734572216960;7a3908937685;5;4
$1;1494868734578956579;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873741;1494868734565526400;1494868734578950109;7a3908937685;3;3
$1;1494868734579080012;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873741;1494868734565515573;1494868734579076106;7a3908937685;2;2
$1;1494868734579989963;HTTP_VisitsService.POST;050FEA1FCE6D65B6E4F36A47B5470D88;6922595577221873741;1494868734564554973;1494868734579970505;7a3908937685;1;1
$1;1494868735098740765;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);6557B22933F47A2D5264CD9E0CE64461;6922595577221873748;1494868735084888410;1494868735098734330;7a3908937685;4;4
$1;1494868735118782002;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);6557B22933F47A2D5264CD9E0CE64461;6922595577221873748;1494868735070563280;1494868735118776178;7a3908937685;3;3
$1;1494868735118903054;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);6557B22933F47A2D5264CD9E0CE64461;6922595577221873748;1494868735070554053;1494868735118899891;7a3908937685;2;2
$1;1494868735127542107;HTTP_VisitsService.GET;6557B22933F47A2D5264CD9E0CE64461;6922595577221873748;1494868735070046180;1494868735127513426;7a3908937685;1;1
$1;1494868735162816264;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);6557B22933F47A2D5264CD9E0CE64461;6922595577221873749;1494868735156655124;1494868735162809720;7a3908937685;4;4
$1;1494868735163377105;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;6557B22933F47A2D5264CD9E0CE64461;6922595577221873749;1494868735163069669;1494868735163374521;7a3908937685;5;4
$1;1494868735167718685;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;6557B22933F47A2D5264CD9E0CE64461;6922595577221873749;1494868735155902732;1494868735167712097;7a3908937685;3;3
$1;1494868735168442150;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);6557B22933F47A2D5264CD9E0CE64461;6922595577221873749;1494868735155879326;1494868735168438065;7a3908937685;2;2
$1;1494868735168954133;HTTP_VisitsService.POST;6557B22933F47A2D5264CD9E0CE64461;6922595577221873749;1494868735144229450;1494868735168934788;7a3908937685;1;1
$1;1494868735620021679;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);0B466047D9E07F993C18AD806660AFA7;6922595577221873756;1494868735616972647;1494868735620015332;7a3908937685;4;4
$1;1494868735649234189;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);0B466047D9E07F993C18AD806660AFA7;6922595577221873756;1494868735606800446;1494868735649227603;7a3908937685;3;3
$1;1494868735649350363;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);0B466047D9E07F993C18AD806660AFA7;6922595577221873756;1494868735606790426;1494868735649346617;7a3908937685;2;2
$1;1494868735656255262;HTTP_VisitsService.GET;0B466047D9E07F993C18AD806660AFA7;6922595577221873756;1494868735606379032;1494868735656229185;7a3908937685;1;1
$1;1494868735710043651;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);0B466047D9E07F993C18AD806660AFA7;6922595577221873757;1494868735708052594;1494868735710036642;7a3908937685;4;4
$1;1494868735710816626;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;0B466047D9E07F993C18AD806660AFA7;6922595577221873757;1494868735710423101;1494868735710812845;7a3908937685;5;4
$1;1494868735712443649;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;0B466047D9E07F993C18AD806660AFA7;6922595577221873757;1494868735688285002;1494868735712438041;7a3908937685;3;3
$1;1494868735712543387;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);0B466047D9E07F993C18AD806660AFA7;6922595577221873757;1494868735688272971;1494868735712539736;7a3908937685;2;2
$1;1494868735713390544;HTTP_VisitsService.POST;0B466047D9E07F993C18AD806660AFA7;6922595577221873757;1494868735679334510;1494868735713363930;7a3908937685;1;1
$1;1494868736128662406;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873764;1494868736095433926;1494868736128655144;7a3908937685;4;4
$1;1494868736208184895;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873764;1494868736091385347;1494868736208114674;7a3908937685;3;3
$1;1494868736208208764;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873764;1494868736091375460;1494868736208206682;7a3908937685;2;2
$1;1494868736218754194;HTTP_VisitsService.GET;879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873764;1494868736090967876;1494868736218735421;7a3908937685;1;1
$1;1494868736250543714;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873765;1494868736244484650;1494868736250530822;7a3908937685;4;4
$1;1494868736250964092;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873765;1494868736250776364;1494868736250960914;7a3908937685;5;4
$1;1494868736251996305;public void org.springframework.samples.petclinic.visits.application.VisitService.saveVisit(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873765;1494868736243886523;1494868736251991815;7a3908937685;3;3
$1;1494868736254185499;public void org.springframework.samples.petclinic.visits.boundary.web.VisitResource.create(org.springframework.samples.petclinic.visits.domain.model.visit.Visit,int);879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873765;1494868736243870094;1494868736254179690;7a3908937685;2;2
$1;1494868736254536354;HTTP_VisitsService.POST;879766DDE3E713CDC57F54A5C5F5EB1B;6922595577221873765;1494868736242877056;1494868736254521670;7a3908937685;1;1
$1;1494868736601312783;public abstract java.util.List org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findByPetId(int);3131B85C16F9DD4E4C645A28E690D660;6922595577221873772;1494868736597988197;1494868736601306380;7a3908937685;4;4
$1;1494868736614477163;public java.util.List org.springframework.samples.petclinic.visits.application.VisitService.findVisitsByPetId(int);3131B85C16F9DD4E4C645A28E690D660;6922595577221873772;1494868736592454947;1494868736614471402;7a3908937685;3;3
$1;1494868736614608435;public java.util.List org.springframework.samples.petclinic.visits.boundary.web.VisitResource.visits(int);3131B85C16F9DD4E4C645A28E690D660;6922595577221873772;1494868736592444844;1494868736614605132;7a3908937685;2;2
$1;1494868736620869807;HTTP_VisitsService.GET;3131B85C16F9DD4E4C645A28E690D660;6922595577221873772;1494868736592018061;1494868736620852383;7a3908937685;1;1
$1;1494868736644906386;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.findOneByDateAndPetId(java.util.Date,int);3131B85C16F9DD4E4C645A28E690D660;6922595577221873773;1494868736643009970;1494868736644900458;7a3908937685;4;4
$1;1494868736645820974;public abstract org.springframework.samples.petclinic.visits.domain.model.visit.Visit org.springframework.samples.petclinic.visits.domain.model.visit.VisitRepository.save(org.springframework.samples.petclinic.visits.domain.model.visit.Visit) throws org.springframework.dao.DataAccessException;3131B85C16F9DD4E4C645A28E690D660;6922595577221873773;1494868736645094334;1494868736645816983;7a3908937685;5;4
